campaign_name,campaign_objective,target_segment,planned_budget_usd,priority_level,external_source_type
BackToSchool,awareness,masivo,8000,alta,simulated_csv_until_api_db_ready
BlackFriday,conversion,joven,9750,media,simulated_csv_until_api_db_ready
CustomerFirst,retention,premium,11500,baja,simulated_csv_until_api_db_ready
CyberMonday,launch,tecnico,13250,alta,simulated_csv_until_api_db_ready
DigitalTransformation,support,fidelizacion,15000,media,simulated_csv_until_api_db_ready
EarthDay,awareness,masivo,16750,baja,simulated_csv_until_api_db_ready
FallCollection,conversion,joven,18500,alta,simulated_csv_until_api_db_ready
GlobalCampaign,retention,premium,20250,media,simulated_csv_until_api_db_ready
HolidaySpecial,launch,tecnico,22000,baja,simulated_csv_until_api_db_ready
InnovationX,support,fidelizacion,23750,alta,simulated_csv_until_api_db_ready
LaunchWave,awareness,masivo,25500,media,simulated_csv_until_api_db_ready
LocalTouchpoints,conversion,joven,27250,baja,simulated_csv_until_api_db_ready
LoyaltyRewards,retention,premium,29000,alta,simulated_csv_until_api_db_ready
NewYearNewYou,launch,tecnico,30750,media,simulated_csv_until_api_db_ready
NextGeneration,support,fidelizacion,32500,baja,simulated_csv_until_api_db_ready
PowerRelease,awareness,masivo,34250,alta,simulated_csv_until_api_db_ready
ReferralBonus,conversion,joven,36000,media,simulated_csv_until_api_db_ready
SpringBlast2025,retention,premium,37750,baja,simulated_csv_until_api_db_ready
SummerDreams,launch,tecnico,39500,alta,simulated_csv_until_api_db_ready
SummerSale,support,fidelizacion,41250,media,simulated_csv_until_api_db_ready
SustainableFuture,awareness,masivo,43000,baja,simulated_csv_until_api_db_ready
ValentinesDeals,conversion,joven,44750,alta,simulated_csv_until_api_db_ready
WinterWonders,retention,premium,46500,media,simulated_csv_until_api_db_ready
